PPS,FER,APPF,SFP,PS,H,dIP,sIP,lable1,lable2
0.5,0.5,0.000109182,1,0,0,0,0,1,0
0.5,0.5,9.37E-05,1,0,0,0,0,1,0
1,0.5,0.000218388,0.5,0.34657359,0,0,0,1,0
1,0.5,0.000199104,0.5,0.34657359,0,0,0,1,0
1,0,0.000136073,0,0,0,0,0,1,0
4,0,0.093023256,0.25,0,0,0.519860385,0,0,1
5,0,0.000692233,0,0,0,0,0,1,0
8.5,0,0.2125,0.181818182,0.478793874,0.081546727,0.387745514,0.081546727,0,1
10,0.5,0.23255814,0.2,0.626582486,0.095477125,0.207944154,0.125100606,0,1
10.5,0.5,0.259259259,0.142857143,0,0.090930595,0.427593202,0.272791786,0,1
16.5,0,0.38372093,0.142857143,0,0,0.240060223,0,0,1
24.5,0,0.816666667,0.428571429,0.170529856,0.288440334,0.168782815,0.629127167,0,1
27,0.5,0.84375,0.076923077,0.505494177,0.30466819,0.307771382,0.495641028,0,1
27.5,0,0.647058824,0.166666667,0,0.068012119,0,0.430769409,0,1
29,0,0.674418605,0,0.087099523,0,0,0.501112837,0,1
30.5,0,0.7625,0.4,0.19609466,0,0,0.476467943,0,1
31,0.5,1.409090909,0.076923077,0.173162486,0.087661361,0.151036491,0.391558995,0,1
32,0,0.752941176,0.153846154,0,0.292731784,0.249969619,0.314392633,0,1
32.5,0,0.8125,0.333333333,0.079487003,0,0,0,0,1
38,1,1.652173913,0.25,0.070054281,0.106424849,0.018240715,0.557694454,0,1
39,0.5,0.975,0.333333333,0,0,0.148138137,0,0,1
40,0,0.930232558,0.1,0.06719688,0.01732868,0.051986039,0.460151404,0,1
42.5,0,0.988372093,0.125,0,0,0.084729981,0.436681586,0,1
43.5,0,1.011627907,0.2,0.062760217,0,0.076895394,0.334075224,0,1
45.5,0,1.058139535,0.4,0,0,0.015234004,0.452565488,0,1
46,0,2.090909091,0.1,0,0,0.045205251,0.385063239,0,1
49.5,0.5,2.020408163,0.111111111,0.304636097,0.33872168,0.34748327,0.343183831,0,1
51.5,1,2.395348837,0.333333333,0.095763293,0.066835569,0.110737268,0.349015613,0,1
53,0,1.23255814,0.142857143,0,0.121987509,0.100236932,0.461317076,0,1
57,9.5,6,0.037037037,0.230811989,0.369853342,0.404614604,0.254209943,0,1
57,0,1.425,0.166666667,0.088319782,0.173383419,0.194223492,0.338689657,0,1
59,2,3.105263158,0.307692308,0.057234228,0,0.176453538,0.215734733,0,1
66,0,1.670886076,0.2,0,0,0.036329304,0.09804843,0,1
66,0,1.65,0.176470588,0.108471339,0.208581993,0.129038746,0.56002779,0,1
66.5,0,1.564705882,0.230769231,0.08541588,0.21660296,0.235415081,0,0,1
71,0,1.775,0.222222222,0,0.030632766,0.024239661,0.443160697,0,1
76,0.5,2.867924528,0.090909091,0.097013176,0.343573578,0.055244785,0.343573578,0,1
